20220226,1000,2300,Lukas' Birthday
20220311,1200,1200,Ocaml Assessment 2 due
20220331,0000,0005,CO600 Technical report and corpus due
20220404,0800,1730,Akon SIA Training Day 1
20220601,1000,2200,Beth's Birthday
